against  bertentangan 	 
dishonor ; disgrace ; dishonour ; attaint ; shame  memalukan  
help ; assist ; aid  membantu  medicine  support ; back up  mendukung  
make ; do  mengadakan  
heed ; mind ; listen  memperhatikan  
poison  meracuni  
govern ; rule  memerintah  

end ; stop ; finish ; terminate ; cease  menyelesaikan  finance 
survive ; last ; live ; live on ; go ; endure ; hold up ; hold out  bertahan  

necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 memerlukan 	 

embrace ; encompass ; comprehend ; cover 	 mencakup  mathematics  match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree  cocok 	 

exceed ; transcend ; overstep ; pass ; go past ; top 	 melampaui  

keep ; maintain ; hold 	 menjaga  
rain ; rain down 	 hujan 	 
able 	 mampu 
acid 	 asam 	 

gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 lengket 	 
dead 	 mati 	 
angry 	 marah 	 

automatic  bekerja sendiri  
awake 	 jaga 	 
beautiful  cantik 	 
broken 	 patah 	 
certain ; sure  pasti 	 
blue ; bluish ; blueish 	 biru 	 
brown ; brownish ; chocolate-brown ; dark-brown 	 warna coklat 	 

green ; greenish ; light-green ; dark-green  hijau 	 
orange ; orangish 	 jingga 	 

red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 merah 	 
yellow ; yellowish ; xanthous 	 kuning 	 
grey ; gray ; greyish ; grayish  abu-abu  

black  hitam  
white  putih  
dark  gelap  
clean  bersih  

dirty ; soiled ; unclean 	 curang 	 
clear 	 cerah 	 

astute ; sharp ; shrewd 	 pintar 	 

far  jauh 	 

near ; close ; nigh  dekat 	 
common 	 biasa 	 

especial ; exceptional ; particular ; special  khusus 	 
full ; total 	 keseluruhan 	 logistics  sparse ; thin  jarang 	 
correct ; right  betul 	 
incorrect ; wrong 	 salah 	 
false ; mistaken 	 tidak benar 	 
brusque ; brusk ; curt ; short 	 kasar 	 
delicate  halus 	 

delicate ; fragile ; frail  mudah pecah 	 
dependent  tergantung 	 
difficult ; hard 	 sulit 	 

elementary ; simple ; uncomplicated ; unproblematic  mudah 	 
early 	 dini 	 
late 	 terlambat  
east 	 timur 	 
west 	 barat 	 
elastic  lentur 	 
equal 	 sama 	 

even ; fifty-fifty 	 sama kuat  
flat ; level ; plane  datar 	 
even 	 genap 	 

costly ; dear ; high-priced ; pricey ; pricy  tersayang  
cheap ; inexpensive  murah 	 
strange ; unusual 	 aneh 	 
common ; usual  kebanyakan 	 
slow 	 lambat 	 
fat  gemuk 	 
thin ; lean 	 kurus 	 
fatty ; fat 	 berlimpah  

fertile  subur 	 
last 	 terakhir  
rigid ; stiff  kaku 	 

foreign ; strange 	 asing 	 

hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched  lemah 	 
free 	 bebas 	 
frequent  sering 	 
prolific ; fertile 	 subur 	 
full 	 penuh 	 
general  umum 	 

good 	 baik ; bagus 	 

bang-up ; bully ; corking ; cracking ; dandy ; great ; groovy ; keen ; neat ; nifty ; not bad ; peachy ; slap-up ; swell ; smashing 	 menyenangkan 	 

bad  buruk 	 

deplorable ; distressing ; lamentable ; pitiful ; sad ; sorry  sedih 	 

sudden 	 mendadak  
happy 	 berbahagia 	 
firm ; solid 	 mantap 	 
soft 	 lembut 	 
healthy  sehat 	 
good ; sound 	 kuat 	 
light 	 ringan 	 
high 	 tinggi 	 
low  rendah 	 
nether ; under  di bawah  
cold 	 dingin 	 meteorology 
barbarous ; brutal ; cruel ; fell ; roughshod ; savage ; vicious 	 kejam 	 

important ; of import  penting  

cardinal ; central ; fundamental ; key ; primal 	 inti 	 
conscious ; witting  sadar 	 
sad  sendu ; sedih  
kind 	 baik hati  
great 	 banyak 	 
small ; little  kecil 	 
infinitesimal ; minute 	 kecil 	 
probable ; likely 	 mungkin  

minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 kecil 	 

short  pendek  finance  tight  ketat  
loud  keras  

beloved ; darling ; dear 	 tersayang  

male 	 jantan 	 

female 	 perempuan ; wanita ; betina  
married  menikah  

male ; manful ; manlike ; manly ; virile 	 jantan 	 
fierce ; tearing ; vehement ; violent ; trigger-happy 	 kuat 	 


militer  

metallic ; metal 	 seperti logam  
much 	 banyak 	 
natural  alami 	 

fake ; false ; faux ; imitation ; simulated  palsu 	 
necessary  perlu 

normal 	 normal 	 
north 	 sebelah utara  
south 	 selatan  
old  tua  

young ; immature 	 muda 	 
open ; unfastened 	 buka 	 
shut ; unopen ; closed 	 tertutup  
complimentary ; costless ; free ; gratis ; gratuitous 	 gratis 	 

parallel  sejajar  mathematics  past  yang lalu  
present  sekarang  logistics 
complete ; consummate  lengkap  
private  pribadi  
physical  badaniah  

acuate ; acute ; sharp ; needlelike 	 tajam 	 
political  politik  
possible  mungkin  
potent ; strong ; stiff 	 kuat 	 
quiet 	 diam 	 
silent ; soundless ; still  sunyi 	 technology  ready 	 siap 	 
regular  teratur  

responsible 	 bertanggung jawab 	 
right 	 kanan 	 
left 	 kiri 	 
round ; circular 	 bundar 	 mathematics  square 	 segi empat 	 
safe 	 aman ; selamat  
same 	 sama 	 
other 	 lain 	 
different  tidak sama 	 

new  baru 	 
opposite  seberang  
open ; opened  buka 	 
separate  terpisah  
serious  serius 	 
common ; mutual  sama 	 
complex  rumit 	 
second ; 2nd ; 2d 	 kedua 	 

adept ; expert ; good ; practiced ; proficient ; skillful ; skilful  ahli 	 

smooth 	 halus 	 

rough ; unsmooth 	 kasar 	 

solid 	 padat 	 

liquid 	 cair 	 

hollow 	 bergaung 	 

any ; whatever ; whatsoever  mana saja  
no  tidak ada  
all  semua  
every  setiap  
straight  lurus  
strong  berkekuatan  
faint ; feeble  melemah  
sweet  manis  
tall  tinggi  
bitter  pahit  
thick  tebal 
thin 	 tipis 	 

thick 	 lebat 	 

tired 	 lelah 	 

true 	 benar 	 

false 	 salah (1) ; palsu / buat/buatan (2) 	 

down 	 menuruni  

warm 	 hangat 	 

ill ; sick  sakit  
wet  basah  
dry  kering  

wide ; broad 	 lebar 	 

narrow 	 sempit 	 

wise 	 pandai 	 

foolish 	 bodoh 	 

material 	 zat  

medical 	 medis 	 

physical 	 fisika 	 

electric ; electrical  listrik  

merely ; simply ; just ; only ; but 	 sekadar  
approximately ; about ; close to ; just about ; some ; roughly ; more or less ; around ; or so  kira-kira  

entirely ; exclusively ; solely ; alone ; only 	 sendiri  
well ; good 	 wah  

equally ; as ; every bit 	 sebagai  
not ; non  tidak 	 

however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 walaupun demikian 	 
still 	 masih 	 

very ; really ; real ; rattling  sangat 	 economics 
again ; once again ; once more ; over again  lagi 	 
immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot  seketika  
now ; at present 	 sekarang  
directly ; straight ; direct 	 langsung  
earlier ; before 	 sebelum  

subsequently ; later ; afterwards ; afterward ; after ; later on 	 sesudah  

about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh  hampir 	 

down ; downwards ; downward ; downwardly 	 menuruni  
little 	 sedikit  

late ; belatedly ; tardily  terlambat  

first ; firstly ; foremost ; first of all ; first off 	 lebih dulu 	 

right 	 seketika  
here 	 di sini  
here ; hither  di sini  

there ; at that place ; in that location 	 itu  
together  bersama-sama 	 

then ; so ; and so ; and then 	 kemudian  
though 	 walaupun  
enough ; plenty  cukup 	 
so  demikian  
such 	 sedemikian 	 

slowly ; slow ; easy ; tardily 	 perlahan-lahan  

right 	 tepat 	 
by ; past  melalui  
tomorrow  besok 
between ; betwixt 	 bekerja bersama  
in ; inwards ; inward  ke dalam  
yesterday  kemarin  


; chemical science 	 kimia 	 

Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 Jerman 	 state 
France ; French Republic 	 Perancis  state 
India ; Republic of India ; Bharat 	 India 	 state  astronomy ; uranology  falak  December ; Dec  Desember 
October ; Oct  Oktober  November ; Nov  November  politics  politik 
September ; Sep ; Sept 	 September 
Africa 	 Afrika  April ; Apr 	 April 
mathematics ; math ; maths  matematika 	 mathematics 
physics ; natural philosophy 	 fisika 
June 	 Juni 
July 	 Juli 
Argentina ; Argentine Republic 	 Argentina  state  chess ; chess game 	 catur  January ; Jan  Januari  geography ; geographics 	 geografi 
hydrogen ; H ; atomic number 1 	 hidrogen  logistics 
May  Mei 
Soviet Union ; Russia ; Union of Soviet Socialist Republics ; USSR  Uni Soviet 
Canada 	 Kanada 
Italy ; Italian Republic ; Italia  Italia 	 state 
Greece ; Hellenic Republic ; Ellas 	 Yunani 	 state 
February ; Feb  Februari 
Switzerland ; Swiss Confederation ; Suisse ; Schweiz ; Svizzera 	 Swiss 	 state 
Spain ; Kingdom of Spain ; Espana  Spanyol 
Bible ; Christian Bible ; Book ; Good Book ; Holy Scripture ; Holy Writ ; 
Scripture ; Word of God ; Word 	 Alkitab 
atom 	 atom 	 physics 
Sweden ; Kingdom of Sweden ; Sverige 	 Swedia  lion ; king of beasts ; Panthera leo 	 singa 	 
beer 	 bir 
Japan ; Nippon ; Nihon 	 Jepang  literature 	 sastra 
Portugal ; Portuguese Republic 	 Portugal  state 
Poland ; Republic of Poland ; Polska 	 Polandia  state 
Chile ; Republic of Chile  Chili 	 state 
Europe 	 Eropa 
Asia 	 Asia 
Christianity ; Christian religion  Kristen  sugar ; refined sugar  gula 	 
ocean 	 samudra  

Mexico ; United Mexican States 	 Meksiko  state  Afghanistan ; Islamic State of Afghanistan 	 Afganistan 
pope ; Catholic Pope ; Roman Catholic Pope ; pontiff ; Holy Father ; Vicar of 
Christ ; Bishop of Rome 	 paus  continent  benua 
Lithuania ; Republic of Lithuania ; Lietuva  Lituania  state 
United States ; United States of America ; America ; the States ; US ; U.S. ; USA 
; U.S.A.  Amerika Serikat  state 
England  Inggris 

Iran ; Islamic Republic of Iran ; Persia 	 Iran 	 state 
Brazil ; Federative Republic of Brazil ; Brasil 	 Brasil 
Pakistan ; Islamic Republic of Pakistan ; West Pakistan  Pakistan  state  sport ; athletics 	 olahraga 
Albania ; Republic of Albania 	 Albania  state 
Iraq ; Republic of Iraq ; Al-Iraq ; Irak 	 Irak 	 state 
Buddhism  Agama Buddha 
Latin 	 Bahasa Latin 	 language 
farming ; agriculture ; husbandry  pertanian 
Austria ; Republic of Austria ; Oesterreich  Austria 
Kenya ; Republic of Kenya  Kenya 	 state  Monday ; Mon 	 Senin 
biology ; biological science 	 biologi  biology 
oxygen ; O ; atomic number 8 	 zat asam ; oksigen 	 

Norway ; Kingdom of Norway ; Norge ; Noreg 	 Norwegia 
Athens ; Athinai ; capital of Greece ; Greek capital 	 Kota Athena 	 city  psychology ; psychological science 	 psikologi  
geology  geologi 
Bangladesh ; People's Republic of Bangladesh ; Bangla Desh ; East Pakistan  
Bangladesh  state 
archeology ; archaeology 	 ilmu purbakala  Romania ; Roumania ; Rumania 	 Rumania  state  tiger ; Panthera tigris 	 harimau  

encyclopedia ; cyclopedia ; encyclopaedia ; cyclopaedia  ensiklopedi  history  sejarah 
Bulgaria ; Republic of Bulgaria  Bulgaria  state 
Iceland ; Republic of Iceland 	 Islandia  state 
Algeria ; Algerie ; Democratic and Popular Republic of Algeria  Aljazair  state  dictionary ; lexicon  kamus 	 linguistics  Friday ; Fri 	 Jumat  desert 	 gurun 	 

Armenia ; Republic of Armenia ; Hayastan 	 Armenia  state  honey 	 madu 
Thailand ; Kingdom of Thailand ; Siam  Thailand 
Finland ; Republic of Finland ; Suomi  Finlandia 
Thursday ; Th  Kamis 
Azerbaijan ; Azerbaijani Republic ; Azerbajdzhan ; Azerbajdzhan Republic  
Azerbaijan  state 
Burundi ; Republic of Burundi 	 Burundi  state  dance 	 tarian  coffee ; java  kopi  Tuesday ; Tues  Selasa  planet 	 planet 	 
liver 	 hati 	 cooking 
Peru ; Republic of Peru 	 Peru 	 state  alphabet  abjad 	 mathematics 
Wednesday ; Midweek ; Wed  Rabu 
Hungary ; Republic of Hungary ; Magyarorszag  Hongaria  state  carbon ; C ; atomic number 6 	 karbon 	 logistics 
Islam ; Islamism ; Mohammedanism ; Muhammadanism ; Muslimism  Islam 
United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and 
Northern Ireland ; Great Britain  Britania Raya 
Netherlands ; The Netherlands ; Kingdom of The Netherlands ; Nederland ; Holland  
Belanda 
anthropology 	 antropologi 
Slovenia ; Republic of Slovenia ; Slovenija  Slovenia  state 
Bolivia ; Republic of Bolivia 	 Bolivia  state 
Angola ; Republic of Angola  Angola 	 state 
Belgium ; Kingdom of Belgium ; Belgique  Belgia 
Bahrain ; State of Bahrain ; Bahrein 	 Bahrain 
Colombia ; Republic of Colombia  Kolombia  state 
Niger ; Republic of Niger  Niger 	 state 
Belarus ; Republic of Belarus ; Byelarus ; Byelorussia ; Belorussia ; White 
Russia 	 Belarus  state  comet 	 komet 
Denmark ; Kingdom of Denmark ; Danmark  Denmark  nitrogen ; N ; atomic number 7 	 nitrogen  logistics  Cuba ; Republic of Cuba 	 Kuba 	 state 
Nigeria ; Federal Republic of Nigeria  Nigeria  state  philosophy 	 filsafat 
United Nations ; UN  Perserikatan Bangsa-Bangsa  

Senegal ; Republic of Senegal 	 Senegal  state 
Estonia ; Esthonia ; Republic of Estonia 	 Estonia  state 
aluminum ; aluminium ; Al ; atomic number 13  aluminium  
war ; warfare  perang 
Latvia ; Republic of Latvia  Latvia 	 state 
Philippines ; Republic of the Philippines 	 Filipina  state  Cambodia ; Kingdom of Cambodia ; Kampuchea 	 Kamboja 
camel 	 unta 	 

Sudan ; Republic of the Sudan ; Soudan  Sudan 	 state  violin ; fiddle  biola 
earthquake ; quake ; temblor ; seism 	 gempa bumi 
euro 	 euro 	 money 
Ethiopia ; Federal Democratic Republic of Ethiopia ; Yaltopya ; Abyssinia  
Ethiopia  state 
European Union ; EU ; European Community ; EC ; European Economic Community ; EEC 
; Common Market ; Europe 	 Uni Eropa 
March ; Mar 	 Maret 
Mars ; Red Planet 	 Mars 
Jupiter  Yupiter 
Jesus ; Jesus of Nazareth ; the Nazarene ; Jesus Christ ; Christ ; Savior ; 
Saviour ; Good Shepherd ; Redeemer ; Deliverer  Yesus 
Ukraine ; Ukrayina 	 Ukraina  state 
Lebanon ; Lebanese Republic  Lebanon  state 
Antarctica ; Antarctic continent  Antarktika 
Sunday ; Lord's Day ; Dominicus ; Sun  Minggu  August ; Aug 	 Agustus 
vent ; volcano  gunung berapi  

Venezuela ; Republic of Venezuela  Venezuela  state 
Indonesia ; Republic of Indonesia ; Dutch East Indies 	 Indonesia  state 
Atlantic ; Atlantic Ocean  Samudra Atlantik 
World War II ; World War 2 ; Second World War  Perang Dunia II  tea  teh 
Ghana ; Republic of Ghana ; Gold Coast  Ghana 	 state  energy ; free energy  tenaga 	 physics 
Croatia ; Republic of Croatia ; Hrvatska 	 Kroasia  state 
Monaco ; Principality of Monaco  Monako  democracy ; republic ; commonwealth 	 republik 
Yemen ; Republic of Yemen  Yaman 	 state 
Vietnam ; Socialist Republic of Vietnam ; Viet Nam ; Annam 	 Vietnam  state 
Kazakhstan ; Republic of Kazakhstan ; Kazakstan ; Kazakh ; Kazak 	 Kazakhstan  state 
Ecuador ; Republic of Ecuador 	 Ekuador  state 
Australia  Australia 
Zimbabwe ; Republic of Zimbabwe ; Rhodesia ; Southern Rhodesia  Zimbabwe  state 
Tunisia ; Republic of Tunisia 	 Tunisia  state 
butterfly  kupu-kupu  

Czech Republic  Ceko 
Tanzania ; United Republic of Tanzania  Tanzania  state 
lake 	 danau 	 

economics ; economic science ; political economy 	 ilmu ekonomi 	 mathematics  chocolate  coklat 
Somalia  Somalia  state 
South Korea ; Republic of Korea  Korea Selatan  eagle ; bird of Jove  elang 	 
geometry  geometri  mathematics 
Myanmar ; Union of Burma ; Burma  Myanmar  state 
9/11 ; 9-11 ; September 11 ; Sept. 11 ; Sep 11 	 11 september 
Paraguay ; Republic of Paraguay  Paraguay  state  Malta ; Republic of Malta  Malta 	 state 
universe ; existence ; creation ; world ; cosmos ; macrocosm  alam semesta  diamond  intan 	 

Uruguay  Uruguay  state  linguistics  linguistik 
Gambia ; The Gambia ; Republic of The Gambia  Gambia 	 state 
Andorra ; Principality of Andorra  Andorra  state 
North America  Amerika Utara 
Jordan ; Hashemite Kingdom of Jordan 	 Yordania 
South America  Amerika Selatan 
German ; High German ; German language  Bahasa Jerman 
Saudi Arabia ; Kingdom of Saudi Arabia  Arab Saudi 
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina ; Bosna i Hercegovina 
; Bosnia-Herzegovina ; Bosnia 	 Bosnia-Herzegovina 	 state  Slovakia ; Slovak Republic  Slowakia  state  anatomy ; general anatomy  ilmu faal  biology  elephant  gajah 	 animal  mouse 	 tikus 	 

Alaska ; Last Frontier ; AK  Alaska 
Cameroon ; Republic of Cameroon ; Cameroun 	 Kamerun  state 
Liberia ; Republic of Liberia 	 Liberia  state 
car ; auto ; automobile ; machine ; motorcar  mobil 	 

Nepal ; Kingdom of Nepal 	 Nepal 
Benin ; Republic of Benin ; Dahomey 	 Benin  sociology  sosiologi 
Zambia ; Republic of Zambia ; Northern Rhodesia 	 Zambia 	 state 
Paris ; City of Light ; French capital ; capital of France 	 Paris 	 city 
Fiji ; Republic of Fiji 	 Fiji 	 state 

; zoological science 	 ilmu hewan 	 biology 
Panama ; Republic of Panama  Panama 	 state 
Mongolia ; Mongolian People's Republic ; Outer Mongolia  Mongolia  state 
Botswana ; Republic of Botswana  Botswana  state  democracy  demokrasi 
Burkina Faso ; Upper Volta  Burkina Faso  algebra  aljabar  mathematics  Vatican City ; Citta del Vaticano  Vatikan  Eritrea ; State of Eritrea  Eritrea 

statistika 	 

Saturn 	 Saturnus 
South Africa ; Republic of South Africa  Afrika Selatan 
Malawi ; Republic of Malawi ; Nyasaland  Malawi 	 state  Mali ; Republic of Mali ; French Sudan  Mali 	 state  lemon 	 lemon 
Mauritius ; Republic of Mauritius  Mauritius  state  Chad ; Republic of Chad ; Tchad  Chad 	 state  meter ; metre ; m 	 meter 	 

Syria ; Syrian Arab Republic 	 Suriah 	 state 
Malaysia ; Malaya 	 Malaysia  theater ; theatre ; 
teater 
Maldives ; Republic of Maldives  Maladewa  state  Haiti ; Republic of Haiti  Haiti 	 state 
doctor ; doc ; physician ; MD ; Dr. ; medico  dokter 	 

Uganda ; Republic of Uganda  Uganda 	 state 
Namibia ; Republic of Namibia ; South West Africa  Namibia  state 
Uzbekistan ; Republic of Uzbekistan ; Uzbek  Uzbekistan 	 state 
Leonardo ; Leonardo da Vinci ; da Vinci  Leonardo da Vinci 	 person 
North Korea ; Democratic People's Republic of Korea ; D.P.R.K. ; DPRK 	 Korea Utara 
Hitler ; Adolf Hitler ; Der Fuhrer 	 Adolf Hitler 	 person 
